id,pno,sku_id,item_sku_key,ad_channel,ad_report_mark,mark_type,mark_type_desc,mark_time,deleted,create_time,update_time,operator_name,operator_user_id
33,SWS022605558N,null,SWS022605558N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
34,SWS022073030N,null,SWS022073030N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
35,SWS022055081N,null,SWS022055081N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
36,SWS021826326N,null,SWS021826326N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
37,SWS021371315N,null,SWS021371315N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
38,SWS021072788N,null,SWS021072788N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
39,SWS021072575N,null,SWS021072575N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
40,SSR023600340N,null,SSR023600340N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
41,SPR022542945N,null,SPR022542945N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
42,SPR021610846N,null,SPR021610846N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
43,SOS019713945N,null,SOS019713945N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
44,SMS022785007N,null,SMS022785007N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
45,SMS022739443N,null,SMS022739443N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
46,SMS017620082N,null,SMS017620082N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
47,SMS017000738N,null,SMS017000738N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
48,SMC022790653N,null,SMC022790653N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
49,SMC022581765N,null,SMC022581765N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
50,SGS022742735N,null,SGS022742735N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
51,SGS022645922N,null,SGS022645922N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
52,SFT022705925N,null,SFT022705925N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
53,SFT022705817N,null,SFT022705817N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
54,SFS022450072N,null,SFS022450072N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
55,SCB022535319N,null,SCB022535319N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
56,SBA022217414N,null,SBA022217414N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
57,PGM018212589N,null,PGM018212589N,facebook,bad-low-site-usage,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
58,PCS023614850N,null,PCS023614850N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
59,PAW021419892N,null,PAW021419892N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
60,PAW020892718N,null,PAW020892718N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
61,OWS022646051N,null,OWS022646051N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
62,OWS022529099N,null,OWS022529099N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
63,OAL021989660N,null,OAL021989660N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
64,MWB021970195N,null,MWB021970195N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
65,MWB016825426N,null,MWB016825426N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
66,MTT022876367N,null,MTT022876367N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
