id,pno,sku_id,item_sku_key,ad_channel,ad_report_mark,mark_type,mark_type_desc,mark_time,deleted,create_time,update_time,operator_name,operator_user_id
32965,SWS022974351N,null,SWS022974351N,facebook,bad-with-trans:top,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32966,SWS022854607N,null,SWS022854607N,facebook,bad-with-trans:top,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32967,SWS021169422N,null,SWS021169422N,facebook,bad-with-trans:tail,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32968,SWS021072788N,null,SWS021072788N,facebook,bad-with-trans:middle,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32969,SWS021072682N,null,SWS021072682N,facebook,bad-with-trans:middle,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32970,SWS019783571N,null,SWS019783571N,facebook,bad-with-trans:tail,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32971,SPS020848293N,null,SPS020848293N,facebook,bad-no-trans,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32972,SPR020641602N,null,SPR020641602N,facebook,bad-no-trans,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32973,SMS022910161N,null,SMS022910161N,facebook,bad-with-trans:top,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32974,SMS022772888N,null,SMS022772888N,facebook,bad-with-trans:top,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32975,SMS022516375N,null,SMS022516375N,facebook,bad-with-trans:tail,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32976,SMS022048796N,null,SMS022048796N,facebook,bad-with-trans:tail,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32977,SMS022041041N,null,SMS022041041N,facebook,bad-no-trans,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
32978,SMS021965610N,null,SMS021965610N,facebook,bad-with-trans:middle,01,机器,2022-10-04 00:00:00,0,2022-10-05 01:54:19,2022-10-05 01:54:19,null,null
