id,pno,sku_id,item_sku_key,ad_channel,merchant_business_id,catalog_feed_id,catalog_feed_name,handle_status,handle_status_desc,deleted,create_time,update_time,operator_name,operator_user_id
14,PDS023158365N,null,PDS023158365N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
15,WLS021889035N,null,WLS021889035N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
16,AAV022458068N,null,AAV022458068N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
17,MEU023435022N,null,MEU023435022N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
18,SMS023413239N,null,SMS023413239N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
19,MSH023169679N,null,MSH023169679N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
20,SMS023821461N,null,SMS023821461N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
22,ACP022013326N,null,ACP022013326N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
24,MSH022023238N,null,MSH022023238N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
26,TEL018396668N,null,TEL018396668N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
27,WWK021934607N,null,WWK021934607N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
28,DTA022153799N,null,DTA022153799N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
32,MJA021027676N,null,MJA021027676N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
33,ACC022674272N,null,ACC022674272N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
34,UVW023168572N,null,UVW023168572N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
35,HPA019175009N,null,HPA019175009N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
36,HCA023355886N,null,HCA023355886N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
37,HAP023097178N,null,HAP023097178N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
40,EMP023620305N,null,EMP023620305N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
45,DSD023685483N,null,DSD023685483N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
46,PDS022243821N,null,PDS022243821N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
