id,pno,sku_id,item_sku_key,ad_channel,ad_report_mark,mark_type,mark_type_desc,mark_time,deleted,create_time,update_time,operator_name,operator_user_id
10001,MSW021757558N,null,MSW021757558N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10002,MSU022201188N,null,MSU022201188N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10003,MSU021428820N,null,MSU021428820N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10004,MSH022061534N,null,MSH022061534N,facebook,bad-with-trans:top,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10005,MOV021797060N,null,MOV021797060N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10006,MMA023662973N,null,MMA023662973N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10007,MLJ017944563N,null,MLJ017944563N,facebook,bad-with-trans:tail,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10008,MJA021604084N,null,MJA021604084N,facebook,bad-with-trans:top,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10009,MJA021437206N,null,MJA021437206N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10010,MED021810306N,null,MED021810306N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10011,MEB023408968N,null,MEB023408968N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10012,MEB022122704N,null,MEB022122704N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10013,MEA022089117N,null,MEA022089117N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10014,MEA021842304N,null,MEA021842304N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10015,MBW019694315N,null,MBW019694315N,facebook,bad-with-trans:top,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10016,MBS022198876N,null,MBS022198876N,facebook,bad-with-trans:tail,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10017,MBS017332973N,null,MBS017332973N,facebook,bad-with-trans:tail,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10018,LLI022787769N,null,LLI022787769N,facebook,bad-low-site-usage,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10019,HTL022180753N,null,HTL022180753N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10020,HSF022779875N,null,HSF022779875N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10021,HSF022407778N,null,HSF022407778N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10022,HSF021849058N,null,HSF021849058N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10023,HMS021881375N,null,HMS021881375N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10024,HKB022515859N,null,HKB022515859N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10025,HKB021925660N,null,HKB021925660N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10026,HET022463062N,null,HET022463062N,facebook,bad-low-site-usage,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10027,HET022457774N,null,HET022457774N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10028,HDP022778308N,null,HDP022778308N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10029,HCM022173619N,null,HCM022173619N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10030,HCA022835742N,null,HCA022835742N,facebook,bad-low-site-usage,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10031,HCA022602693N,null,HCA022602693N,facebook,bad-low-site-usage,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10032,HCA022602458N,null,HCA022602458N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10033,HCA022139656N,null,HCA022139656N,facebook,bad-with-trans:middle,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10034,HAV022895976N,null,HAV022895976N,facebook,bad-no-trans,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
10035,HAV022773703N,null,HAV022773703N,facebook,bad-low-site-usage,01,机器,2022-10-10 00:00:00,0,2022-10-11 02:58:30,2022-10-11 02:58:30,null,null
